"UniqueID","LM.flux","LM.C0","LM.Ct","LM.slope","LM.MAE","LM.RMSE","LM.AICc","LM.SE","LM.se.rel","LM.r2","LM.p.val","HM.flux","HM.C0","HM.Ci","HM.slope","HM.MAE","HM.RMSE","HM.AICc","HM.SE","HM.se.rel","HM.r2","HM.k","C0","Ct","MDF","prec","flux.term","nb.obs","k.max","k.mult","g.fact","HM.diagnose","LM.diagnose","best.flux","model","quality.check","HM.score","LM.score","SE.lim","g.limit","k.ratio.lim","MDF.lim"
"S1-VA-P2-10-vegetated-transparent",-0.684725514439248,420.425530293412,377.443319196866,-0.131847273302288,1.32572110969727,2.20759389418436,1456.38624237305,0.0067061693495798,-0.979395277109218,0.969584759720279,1.50904523609072e-249,-0.880142270743196,422.341630349451,315.530132205094,-0.169475733076207,1.25232439425826,2.04280824625669,1407.54501364813,0.0297270236196469,-3.3775248170441,0.97395597593713,0.00158668061042604,420.946354529671,403.453331779544,0.0555860290390427,3.5,5.19332328450485,328,0.0376706495149395,1,1.28539429622976,"","",-0.684725514439248,"HM","",0,1,0.193255170630981,2,1,0.056
"S1-VA-P2-11-vegetated-dark",0.575849619845022,364.038130065789,403.767308692984,0.11097535929384,0.60720356284036,0.726752076151533,797.900844032085,0.0019178607206363,0.333048881955059,0.996033665886037,0,0.66434703966296,363.060770424432,520.588388443157,0.128030216364887,0.429357259160615,0.576725272958848,633.46815570567,0.00672971230639619,1.01298145466417,0.9975022170339,0.000812747745285331,364.821330235692,402.864846914342,0.0505890029978573,3.5,5.18898630749451,360,0.0317072455125258,1,1.15368147649686,"","",0.575849619845022,"HM","",0,1,0.184466196843155,2,1,0.051
"S1-VA-P2-12-bare-transparent",0.236276623070571,421.564922994151,435.490658797171,0.0455089405327456,0.361319172889315,0.488793740413999,439.203242646505,0.00163166567869801,0.690574318141776,0.985569966688104,6.50067909304076e-284,0.256472747524217,421.372389709259,512.446239021318,0.049398890434723,0.346078279738909,0.48093983742542,431.278083248172,0.00677557758841795,2.64183140463225,0.986029962660033,0.000542404771598709,424.101356392532,435.328391609246,0.0591907303841776,3.5,5.19187263655501,308,0.0130025544379273,1,1.08547660869359,"","",0.236276623070571,"HM","",0,1,0.199431008804366,2,1,0.059
"S1-VA-P2-13-bare-dark",0.13693895272375,421.950505944041,430.360923155701,0.0228543945969028,0.267661948016632,0.338075694310513,253.560847270461,0.000988639215070069,0.721956167624908,0.981128922964968,1.42093279743943e-319,0.1789816139169,421.548163165494,441.443687911728,0.0298710947373699,0.230063068822227,0.290415623494836,143.156877414223,0.00412336465393556,2.30379230787918,0.986074565878563,0.0015013976820603,421.67996736384,429.860117858138,0.0568327876665935,3.5,5.99179961399229,370,0.00652982702768652,1,1.30701754582543,"","",0.13693895272375,"HM","",0,1,0.181956335718513,2,1,0.057
"S1-VA-P2-14-bare-transparent",-0.52759486603808,421.501285381348,390.414635326621,-0.101590359655971,0.672260675249299,1.02371227142161,894.581353173894,0.00341827883298916,-0.647898426051485,0.98727642481328,2.81764506507765e-292,-0.668777888611101,422.80295706933,342.05428859348,-0.12877567733773,0.579929316802691,0.853918215461843,784.919518225364,0.0135106151426625,-2.02019465247587,0.991147093087864,0.00159477152711495,429.761956343275,393.30654721571,0.0592076374492,3.5,5.19335562768697,308,0.0290258170445631,1,1.26759741548135,"","",-0.52759486603808,"HM","",0,1,0.199431008804366,2,1,0.059
"S1-VA-P2-15-bare-dark",-0.12771752763024,386.376316618098,375.836840084533,-0.0246249451718821,0.759926172116421,0.972169161321682,1202.06958495537,0.00196344399219987,-1.53733322953473,0.907924183146324,5.21250549188975e-224,-0.129477421342127,386.399948655268,0.0237236814700321,-0.0249642665396511,0.761964656551578,0.972512883927336,1204.41137462533,0.00370012421310275,-2.85773702839328,0.907859064698553,6.46112905661937e-05,388.147846376874,374.65428935063,0.0423141852248909,3.5,5.18651013185091,430,0.00703569862053775,1,1.01377957861025,"","",-0.12771752763024,"HM","",0,1,0.168784987759644,2,1,0.042
"S1-VA-P2-16-vegetated-transparent",-14.2561292373435,416.127040417971,239.798509403746,-0.576237029458251,5.69774705080639,6.99131865060825,2078.061302774,0.111209284576742,-0.780080502394945,0.981659776125605,5.58238998833616e-268,-22.3268729444103,431.055945580324,138.793489373668,-0.902458916328975,1.51036431986605,2.87029993322591,1531.71873254295,0.253373215838898,-1.13483521167406,0.996908701090176,0.00308783730911662,420.162558730869,277.487432765333,0.282052614423491,3.5,24.7400436080034,308,0.164639151273786,1,1.56612447689698,"Noise (HM.SE)","",-22.3268729444103,"LM","",1,0,0.199431008804366,2,1,0.28
"S1-VA-P2-17-vegetated-dark",5.5218079214358,255.720712042275,326.028892339072,0.223200572370783,0.449528858527631,0.797258501852203,762.034327350364,0.0121440455960203,0.219928794496397,0.998473875060715,0,5.59472370662566,255.566523043072,2892.24376341298,0.226147948523812,0.460242512721374,0.808755728010976,773.163440871823,0.049411378413328,0.883178169367178,0.998429851506473,8.5770053710512e-05,255.667498828316,336.010209305196,0.274010341026426,3.5,24.739219361243,317,0.0637715921059381,1,1.01320505642849,"","",5.5218079214358,"HM","",0,1,0.196579584705606,2,1,0.27
"S1-VA-P2-18-bare-dark",0.169230833119842,421.550150041632,436.649973383618,0.0385199575050651,0.507507748239341,1.309696207131,1336.78372603121,0.00255515390089234,1.50986309869602,0.917757798943812,5.82375899887463e-215,0.170147414086686,421.536117553433,1639.2948742505,0.0387285876893047,0.506845109916534,1.3110853890025,1339.66039621258,0.0102185453069652,6.00570121022181,0.917584749239488,3.18031691222227e-05,427.432922065808,442.556323878486,0.0391263366275607,3.5,4.39332865560895,394,0.0110057021443043,1,1.00541615821388,"","",0.169230833119842,"HM","",0,1,0.176327452650957,2,1,0.039
"S1-VA-P2-19-vegetated-transparent",-17.4148263001215,410.772635609289,231.475312253738,-0.703126758257061,7.16727185068001,8.63437397295781,1843.48538976061,0.180512413512786,-1.03654443864034,0.973228224321247,1.03796992958754e-202,-30.4096696812383,430.220963674788,167.296819199131,-1.22779590758754,1.98287150019072,2.96261945877355,1295.73508447838,0.372230975493675,-1.22405464904911,0.996848137889216,0.00466977237878289,419.65264132,270.670232305,0.338620775736326,3.5,24.7676910252855,257,0.200893359502018,1,1.7461942575348,"Noise (HM.SE)","",-30.4096696812383,"LM","",1,0,0.218324001543132,2,1,0.34
"S1-VA-P2-20-vegetated-dark",6.13199819260725,418.85544114023,487.242720892206,0.247779999101362,0.76199685321893,1.02870980433379,810.755218052223,0.0190951356372206,0.311401520963293,0.997321075754396,0,6.68796843842946,417.85486761805,842.196947922169,0.270245483056705,0.675289957954928,0.920708862773903,751.144404757714,0.0723227023541426,1.08138522213371,0.997854051366469,0.000636857609933534,418.225554222085,484.033569945231,0.312697238874168,3.5,24.7477529051841,278,0.0707942854575319,1,1.09066705963686,"","",6.13199819260725,"HM","",0,1,0.209916050366424,2,1,0.31
"S1-VA-P2-21-bare-dark",0.558671249079634,420.151509672962,454.309896199881,0.0998783231781234,1.04747835873688,4.14204171745301,1960.07821737884,0.0126159671280571,2.25820948345577,0.851062086228751,1.08734756370695e-143,0.565839037356677,420.078195574943,1720.05731156808,0.101159768527577,1.02990834665624,4.14295917307478,1962.2779972698,0.0506344165028929,8.94855482920234,0.850996709019379,7.78164566515322e-05,419.992829855174,505.009386548892,0.0570767194525096,3.5,5.59351850634595,344,0.0285366637651781,1,1.01283006470952,"","",0.558671249079634,"HM","",0,1,0.188707353106017,2,1,0.057
"S1-VA-P2-22-vegetated-transparent",-3.52609734554094,412.264226539025,369.963283055766,-0.140069349282317,2.76024611511949,5.61402050716417,1917.75704371148,0.09267041440089,-2.62812977974303,0.826836635347296,3.1080611758627e-117,-8.52223821748033,420.354513274029,368.216982065906,-0.338534148259096,2.169125515876,4.63995161158164,1803.94840154103,0.58919594641545,-6.91362915914418,0.881713568706032,0.00649309893304566,420.259173217564,402.61659330999,0.290788081756863,3.5,25.173939649237,304,0.040019814080662,1,2.4169038408022,"Noise (HM.SE) | Overestimated flux (g-fact)","",-3.52609734554094,"LM","g-fact. > 2",1,0,0.200738767136742,2,1,0.29
"S1-VA-P2-23-vegetated-dark",0.88121197622824,375.134550911015,385.755344947215,0.035052125532013,0.358952363508408,0.625953201501428,585.859641590607,0.0102678544124075,1.16519687537111,0.960357230934014,1.1874344097078e-214,0.884943681380859,375.126807351413,1412.85361966039,0.0352005622316797,0.359414795125325,0.627649032000732,589.563616251142,0.0410223706824902,4.63559111676793,0.960143984616269,3.39208371742435e-05,375.554588443783,388.799625108613,0.289441295415393,3.5,25.1400439446513,305,0.0100148930091466,1,1.00423474175713,"","",0.88121197622824,"HM","",0,1,0.200409417009854,2,1,0.29
"S1-VA-P2-24-bare-dark",0.169392783223901,420.132065611331,429.006956437359,0.0302897297816661,0.322861641155161,0.607113372776964,548.822768245483,0.0023291988165928,1.37502836441037,0.947331056137208,1.48161389519232e-189,0.203822454398304,419.846791275949,448.046904532679,0.0364462224993391,0.295396776907214,0.594055819513258,538.050290469101,0.0103832910049039,5.0942821955294,0.949572258143173,0.00129241404697697,419.448556337996,428.704825805155,0.066576386359382,3.5,5.59241645418809,295,0.00865420850904746,1,1.20325347112867,"","",0.169392783223901,"HM","",0,1,0.203777878408854,2,1,0.067
"S1-VA-P2-25-vegetated-transparent",0.0790773766140263,427.563659723037,428.527981579803,0.00314111353995583,2.15226716347609,6.42833454045744,2032.90487534334,0.103545759227011,130.942329729037,-0.00135498278167856,0.445635539087257,0.0679037605943834,427.667049447853,430.672500213378,0.002697274883789,2.19803704287539,6.43100133800286,2035.21409018633,0.454947089837293,669.98806230317,-0.00218598026756944,0.00089746101141595,430.728967853712,431.012591909876,0.286078978362799,3.5,25.1749500959263,309,0.00089746101141595,1,0.858700218721456,"Noise (HM.SE) | MDF (HM)","MDF (LM)",0.0679037605943834,"LM","MDF",1,0,0.199108043396001,2,1,0.29
"S1-VA-P2-26-vegetated-dark",0.79082808315033,435.777523204103,446.715244269515,0.0314302329465857,0.305548515310285,0.376532629434898,315.600938172956,0.0050265711895235,0.635608585054255,0.9860959398902,0,0.957410177523526,435.412995743303,469.250422138639,0.0380507793617089,0.269862121146737,0.342680603462247,251.703399656417,0.0209667999917924,2.1899495622687,0.988483634270567,0.0011245175362082,435.025412203601,446.783525534454,0.252334771919901,3.5,25.1613815428701,350,0.00898006655616735,1,1.2106426136381,"","",0.79082808315033,"HM","",0,1,0.187082869338697,2,1,0.25
"S1-VA-P2-27-bare-dark",0.830475788991402,423.726917774872,433.987500452857,0.0329922272604009,0.668202219421945,2.76430697179934,1530.84370692918,0.0436686653449047,5.25827073152121,0.536177665162266,4.89388738497093e-54,0.833452622991245,423.720528844541,1552.26300653435,0.0331104876421498,0.665949115200974,2.76470438678921,1532.9858985734,0.174027733591881,20.8803390608214,0.536045487252466,2.93391593995903e-05,423.836876100478,474.106786024537,0.282376656140018,3.5,25.1718619187673,313,0.00942635064582882,1,1.00358449221435,"","",0.833452622991245,"LM","",1,0,0.197831696630478,2,1,0.28
"S1-VA-P2-28-openwater-transparent",-0.0773494696349756,420.231833178869,415.005745341033,-0.0175962553462493,1.04853971680764,2.69389948960057,1447.21848023766,0.00796089805437199,-10.2921171818511,0.238638363670036,1.47583261182134e-19,-0.146174259068555,420.879422626529,413.785195402317,-0.033253228493451,1.02864295093281,2.68751683981396,1447.8546576062,0.0510794572817393,-34.9442217851663,0.242241874415833,0.00468736445034657,434.183440871285,414.016937132138,0.0516284236257486,3.5,4.39579149727802,299,0.0050275015274998,1,1.88979006266461,"","",-0.0773494696349756,"HM","",0,1,0.202410226188184,2,1,0.052
"S1-VA-P2-4-vegetated-transparent",-1.46119495492149,415.646979467392,381.77725299795,-0.0677394529388844,2.18219795139792,2.86703983172502,2488.15568040552,0.0190854746701458,-1.30615525367532,0.921245259498655,2.64353636322385e-278,-2.2697420111718,418.464035589635,361.671384831835,-0.105222839451593,2.05025656679393,2.62601918847743,2402.02572953315,0.0968204676228435,-4.26570364148382,0.933929888164973,0.00185275450340097,419.512188702176,392.304347411936,0.150694290313895,3.5,21.5708112706461,502,0.0193541294111098,1,1.55334646039327,"","",-1.46119495492149,"HM","",0,1,0.156212644937108,2,1,0.15
"S1-VA-P2-5-vegetated-dark",0.13729054278323,383.417795694997,386.486899732703,0.00636743576287559,0.581729177239254,0.892712813250348,1269.72384372994,0.00627495315063011,4.57056474788487,0.497239773079898,3.32363459668166e-74,0.194758423671983,383.294247061586,388.259297596263,0.00903275438256728,0.604217124965537,0.94311219364781,1324.92022016168,0.0360928610186735,18.5321180661546,0.438869213654265,0.0018192673608216,383.616866505668,390.029517204886,0.156241702739423,3.5,21.5613549780404,484,0.0018192673608216,1,1.41858586705051,"","MDF (LM)",0.13729054278323,"HM","",0,1,0.159090909090909,2,1,0.16
"S1-VA-P2-6-bare-transparent",-0.000110417705047464,419.301192815425,419.299590379116,-5.11960482236836e-06,0.40926680813196,0.565483998991817,540.862280469531,0.0075811081635033,-6865.84471235339,-0.00319420826685435,0.988388620813345,-1.57473622630765e-06,419.300405602586,419.25048990483,-7.3013899126931e-08,0.409257757636512,0.565484185153944,542.914349710896,0.00762519410175996,-484220.403034677,-0.00319419832620182,1.46274423496239e-06,419.344416946607,419.14351995745,0.240403437446068,3.5,21.567622673733,315,1.46274423496239e-06,1,0.0142616279303281,"MDF (HM)","MDF (LM)",-0.000110417705047464,"HM","MDF",0,1,0.197202659436654,2,1,0.24
"S1-VA-P2-7-bare-dark",-0.056614411784689,419.303536411637,418.502922951125,-0.00262496216561261,0.451168574220882,0.627308375402737,590.988809379402,0.00874157469055783,-15.4405467000223,0.118014464099885,3.75461706485943e-10,-0.0618057662305173,419.308676642568,415.487738210327,-0.00286566252050475,0.452790758543556,0.62936754715106,595.054237369713,0.0378678309682232,-61.2690906977633,0.112214635537992,0.000749989190175033,418.946580720317,418.637093472475,0.246689445689003,3.5,21.5677058230957,307,0.000749989190175033,1,1.09169669492587,"MDF (HM)","MDF (LM)",-0.056614411784689,"HM","MDF",0,1,0.199755550937372,2,1,0.25
"S1-VA-P2-8-vegetated-transparent",-6.4682512529401,419.03927135692,364.224865081493,-0.168659711616698,1.31000423976867,2.02015673657885,1393.93662002419,0.0455264527423704,-0.703844840932495,0.98410594046443,1.3581825708957e-294,-8.49687684231044,421.71388881573,293.853015824473,-0.221556142738778,0.933056753701056,1.63643437124729,1258.21791533646,0.179536903877648,-2.11297524030993,0.989570538415833,0.00173279078701369,420.143704529128,381.665607657881,0.411742760773383,3.5,38.3508971463208,327,0.0481884890333422,1,1.31362813688603,"","",-8.49687684231044,"LM","",1,0,0.193550442263266,2,1,0.41
"S1-VA-P2-9-vegetated-dark",0.936089396086433,356.500632193953,364.805435118502,0.0244258909545541,0.655674732658471,1.08242220251588,1030.79865864607,0.0227871765626843,2.43429491434814,0.831815746330569,6.95282783708499e-134,0.938176763164465,356.49727958568,1679.60132906031,0.0244803577617237,0.655685297566622,1.08301923831755,1033.22351960734,0.0908040110411837,9.67877425730544,0.831631835205534,1.85022166408184e-05,355.924404545184,364.381730029703,0.393351288441544,3.5,38.3236541024475,342,0.00697882598701545,1,1.00222988005928,"","",0.936089396086433,"HM","",0,1,0.189258324652556,2,1,0.39
