DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2023-11-09                12:28:21.891              312.51969781              7500.472748               1699532901.891            0                         899                       2.1052928761E+00          2.1047454398E+00          4.3750998294E+02          4.3739153282E+02          -2.3862036606E-02         7.4553778602E+02          3.3675041199E+01          -1.3645728037E+00         4.0126266479E+01          1.8869673887E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:22.890              312.51970938              7500.473025               1699532902.890            0                         899                       2.1032404526E+00          2.1026169226E+00          4.3750998294E+02          4.3737493679E+02          -2.7206375824E-02         7.4553474760E+02          3.3675041199E+01          -1.3378943710E+00         4.0126266479E+01          1.8877667787E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:23.934              312.51972147              7500.473315               1699532903.935            0                         899                       2.1032404526E+00          2.1026169226E+00          4.3817090344E+02          4.3803565329E+02          -2.7206375824E-02         7.4554455445E+02          3.3675041199E+01          -1.3255522267E+00         4.0126266479E+01          1.8881572079E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:24.963              312.51973338              7500.473601               1699532904.964            0                         899                       2.1047279736E+00          2.1039788204E+00          4.3817416291E+02          4.3801177781E+02          -3.2666513455E-02         7.4556896851E+02          3.3675948440E+01          -1.3369565934E+00         4.0126266479E+01          1.8871086070E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:26.019              312.51974560              7500.473894               1699532906.020            0                         899                       2.1047493910E+00          2.1040002268E+00          4.3778517617E+02          4.3762293451E+02          -3.2666658235E-02         7.4553994286E+02          3.3677085876E+01          -1.3422168588E+00         4.0126266479E+01          1.8880644186E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:27.089              312.51975799              7500.474192               1699532907.090            0                         899                       2.1069902978E+00          2.1062070602E+00          4.3778517617E+02          4.3761573595E+02          -3.4116618671E-02         7.4556160549E+02          3.3677085876E+01          -1.3003937006E+00         4.0126266479E+01          1.8858032227E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:28.230              312.51977118              7500.474508               1699532908.230            0                         899                       2.1069902978E+00          2.1062070602E+00          4.3739268948E+02          4.3722340117E+02          -3.4116618671E-02         7.4557338164E+02          3.3677085876E+01          -1.5731065565E+00         4.0126266479E+01          1.8869736185E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:29.336              312.51978399              7500.474816               1699532909.337            0                         899                       2.1063659735E+00          2.1058430410E+00          4.3739268948E+02          4.3727962922E+02          -2.2782067910E-02         7.4554837258E+02          3.3677085876E+01          -1.3817763329E+00         4.0126266479E+01          1.8873517990E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:30.404              312.51979634              7500.475112               1699532910.404            0                         899                       2.1063977361E+00          2.1058747923E+00          4.3797547688E+02          4.3786226523E+02          -2.2782217538E-02         7.4554372259E+02          3.3678771417E+01          -1.2959957983E+00         4.0126266479E+01          1.8870264458E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:31.395              312.51980782              7500.475388               1699532911.396            0                         899                       2.1081878885E+00          2.1075992474E+00          4.3797599943E+02          4.3784867326E+02          -2.5623358439E-02         7.4556657602E+02          3.3678916931E+01          -1.3085319996E+00         4.0126266479E+01          1.8882881165E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:32.503              312.51982064              7500.475695               1699532912.503            0                         899                       2.1081878885E+00          2.1075992474E+00          4.3744746537E+02          4.3732029285E+02          -2.5623358439E-02         7.4555045223E+02          3.3678916931E+01          -1.4741861725E+00         4.0126266479E+01          1.8857258171E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:33.575              312.51983304              7500.475993               1699532913.575            0                         899                       2.1067743149E+00          2.1060664773E+00          4.3744746537E+02          4.3729443889E+02          -3.0834366587E-02         7.4554763208E+02          3.3678916931E+01          -1.3334533852E+00         4.0126266479E+01          1.8875210629E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                12:28:34.665              312.51984567              7500.476296               1699532914.666            0                         899                       2.1067946102E+00          2.1060867629E+00          4.3786156940E+02          4.3770839742E+02          -3.0834495964E-02         7.4554052047E+02          3.3679993737E+01          -1.3531037845E+00         4.0126266479E+01          1.8854524549E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
