DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2023-11-09                09:28:08.805              312.39454635              7497.469113               1699522088.805            0                         899                       1.9755353281E+00          2.0113567868E+00          4.1326807644E+02          4.2107618658E+02          1.6339082049E+00          7.3771433768E+02          2.6722742081E+01          -1.4699930513E+00         3.1659337997E+01          1.8859226012E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:09.907              312.39455912              7497.469419               1699522089.908            0                         899                       1.9755698845E+00          2.0113922392E+00          4.1266935510E+02          4.2046621193E+02          1.6339202730E+00          7.3772934263E+02          2.6724662869E+01          -1.4062127775E+00         3.1659337997E+01          1.8870517529E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:10.903              312.39457064              7497.469695               1699522090.903            0                         899                       1.9753934140E+00          2.0098982553E+00          4.1267281515E+02          4.2018343862E+02          1.5749960301E+00          7.3775731937E+02          2.6725671768E+01          -1.3258217794E+00         3.1659337997E+01          1.8881058485E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:11.973              312.39458302              7497.469993               1699522091.973            0                         899                       1.9753934140E+00          2.0098982553E+00          4.1093914531E+02          4.1841821609E+02          1.5749960301E+00          7.3774507353E+02          2.6725671768E+01          -1.5520548339E+00         3.1659337997E+01          1.8854081729E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:13.006              312.39459499              7497.470280               1699522093.007            0                         899                       1.9741048326E+00          2.0096214889E+00          4.1093914531E+02          4.1864272274E+02          1.6214042599E+00          7.3770783885E+02          2.6725671768E+01          -1.5208167919E+00         3.1659337997E+01          1.8862032290E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:14.138              312.39460808              7497.470594               1699522094.138            0                         899                       1.9741153837E+00          2.0096323115E+00          4.1057458640E+02          4.1827134740E+02          1.6214079192E+00          7.3774542115E+02          2.6726258676E+01          -1.3059772561E+00         3.1659337997E+01          1.8886238641E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:15.289              312.39462141              7497.470914               1699522095.290            0                         899                       1.9792634125E+00          2.0148194796E+00          4.1058518393E+02          4.1827057530E+02          1.6190157695E+00          7.3778089026E+02          2.6729364395E+01          -1.2797731311E+00         3.1659337997E+01          1.8888786379E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:16.341              312.39463358              7497.471206               1699522096.341            0                         899                       1.9792634125E+00          2.0148194796E+00          4.0983094340E+02          4.1750221679E+02          1.6190157695E+00          7.3774553837E+02          2.6729364395E+01          -1.3195267213E+00         3.1659337997E+01          1.8885910502E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:17.309              312.39464479              7497.471475               1699522097.310            0                         899                       1.9750245219E+00          2.0110118928E+00          4.0983094340E+02          4.1761201779E+02          1.6417574046E+00          7.3775394707E+02          2.6729364395E+01          -1.5429141521E+00         3.1659337997E+01          1.8851911545E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-09                09:28:18.394              312.39465735              7497.471776               1699522098.395            0                         899                       1.9750245219E+00          2.0110118928E+00          4.1080113287E+02          4.1860062734E+02          1.6417574046E+00          7.3776133395E+02          2.6729364395E+01          -1.5992675775E+00         3.1659337997E+01          1.8856413140E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
