"UniqueID","LM.flux","LM.C0","LM.Ct","LM.slope","LM.se","LM.se.rel","LM.MAE","LM.RMSE","LM.r2","LM.p.val","HM.flux","HM.C0","HM.Ci","HM.slope","HM.se","HM.se.rel","HM.MAE","HM.RMSE","HM.r2","HM.k","C0","Ct","MDF","prec","flux.term","nb.obs","k.max","g.fact","HM.diagnose","LM.diagnose","best.flux","model","quality.check","g.limit","k.ratio.lim"
"S1-VA-A1-1-openwater-dark",0.107477886192276,418.437371929656,466.518799894743,0.0659553195680208,0.000170290572334155,0.158442427895826,0.397993556039976,0.595403560201592,0.998170755469691,0,0.113869957966799,417.968916868711,855.659491851913,0.0698779044971302,0.000663851946962758,0.582991298860685,0.356164556210425,0.557487331257592,0.998396315557877,0.000159651380429684,418.275354033165,466.169553819288,0.00781293968664868,3.5,1.62955599178672,731,0.0188443770194345,1.05947336704303,"","",0.113869957966799,"HM","",2,1
"S1-VA-A1-10-bare-dark",1.55991285675064,415.82343501286,434.277550332282,0.060904671021196,0.00768911882339872,0.492919767288505,0.348736668255551,0.460102968656634,0.992667695378842,0,1.5860097922071,415.772350820082,972.608121909685,0.061923590290794,0.0308782424151442,1.94691373072634,0.349725438550786,0.459667986684352,0.992681663942724,0.000111206200294251,416.097385350155,433.954492929511,0.29487923866381,3.5,25.6123681582281,305,0.0174013345774846,1.01672973932071,"","",1.5860097922071,"HM","",2,1
"S1-VA-A1-11-bare-dark",0.00685299899493882,419.374549220009,419.846054801563,0.00129534500426917,0.0013148741731197,19.1868432213515,0.354419292592885,0.500989342259041,0.0668874383775921,3.13875131008378e-07,0.00744987487899035,419.365187815239,423.170027433006,0.0014081657116917,0.00548637442473187,73.643846559144,0.354106448577487,0.500344374340755,0.0692884486294398,0.000370098572648334,419.631117423236,419.658848405449,0.0507306461027652,3.5,5.29048166500266,366,0.000370098572648334,1.08709703364795,"MDF (HM)","MDF (LM)",0.00744987487899035,"HM","MDF",2,1
"S1-VA-A1-12-bare-dark",-0.107090769505606,418.771186652339,412.131488417079,-0.0202429824245729,0.00110987997243257,-1.03639181748009,0.291261400789093,0.361956808344998,0.965864462159275,7.58987208061218e-243,-0.173578145941578,419.383439309073,408.843493263008,-0.0328108517083852,0.00442468090516113,-2.54910022293381,0.182559484778992,0.253240771286676,0.983290613485899,0.00311299996840446,419.179753596293,412.479033674579,0.0562794296553774,3.5,5.29026638760548,330,-0.00578370926416368,1.62085067408626,"","",-0.173578145941578,"HM","",2,1
"S1-VA-A1-13-bare-dark",0.0477635091524036,418.330806608958,421.311732932139,0.00903311007024605,0.00451430948710488,9.4513773531602,0.53459051886787,1.48639716306005,0.251040248293288,1.0129537573862e-22,0.0662381722637394,418.235648968942,423.089429753418,0.012527067452291,0.0248454208744731,37.5092186655552,0.609093615981842,1.52034676194561,0.216436763764144,0.00258088859149887,419.249199849465,421.480934765044,0.0559112207925914,3.5,5.28760402352793,332,0.00258088859149887,1.38679450985033,"","MDF (LM)",0.0662381722637394,"HM","",2,1
"S1-VA-A1-14-vegetated-transparent",-9.34855601515559,404.570914424301,347.256337810488,-0.118418546722753,0.153720793117471,-1.64432659833523,4.69556656218775,6.01001033903302,0.884040222449328,8.53773433722071e-229,-21.1013371330117,414.371536582315,342.697331493486,-0.267291512523126,0.932233677797442,-4.41788912200746,3.9423504706859,4.94262825155997,0.92157169487797,0.00372925674155519,418.154722671343,359.177455369299,0.569706419830389,3.5,78.9450324622111,486,-0.0338338704922151,2.2571760920941,"Overestimated flux (g-fact)","",-9.34855601515559,"LM","g-fact. > 2",2,1
"S1-VA-A1-15-vegetated-dark",1.46952317608298,352.640853970785,359.439257840383,0.0186257640262945,0.0281537666221455,1.9158436614242,0.427689635843358,0.722261428741473,0.881532558901349,2.30466324811862e-171,1.47701395166555,352.634911090667,933.895444891581,0.018720707352569,0.112478183210917,7.61524175747165,0.427877815553539,0.722750392887554,0.881373416069816,3.22070848852452e-05,352.608769424836,360.324668849105,0.75448272821375,3.5,78.8973367217807,367,0.00532164686465556,1.00509741915234,"","",1.47701395166555,"HM","",2,1
"S1-VA-A1-16-bare-dark",0.0407692308252035,423.570481891913,426.000277828705,0.00667526356261412,0.00299966655943456,7.35767268285122,0.468140895229908,0.990030100915816,0.334818243631469,2.5911379014966e-34,0.0596676226957145,423.35723845399,428.479647565174,0.00976955168362617,0.014880674105144,24.9392776733046,0.457820634707407,0.962738214336225,0.370986519691735,0.00190721816074689,417.42350333389,425.493102603694,0.0585651526960266,3.5,6.10750878115706,366,0.00190721816074689,1.46354546033839,"","MDF (LM)",0.0596676226957145,"HM","",2,1
"S1-VA-A1-17-vegetated-transparent",-0.0126408150806191,436.46514777848,436.299051781505,-0.000492866459865111,0.12563174745882,-993.857964518752,2.30703670899148,8.79985911597176,-0.00293722932214391,0.919913539862878,-0.0125364174239989,436.464647507883,106.510817334456,-0.000488795986315068,0.255080824910954,-2034.71866230814,2.30667753786829,8.79985987999657,-0.00293740201611858,1.48140722008941e-06,434.7088945575,336.6733566325,0.265581095098755,3.5,25.6475457552512,339,-0.000140818988532889,0.991741224283843,"MDF (HM)","MDF (LM)",-0.0125364174239989,"HM","MDF",2,1
"S1-VA-A1-18-vegetated-dark",-0.399586190056722,343.645873117099,338.500163550004,-0.0155930592942264,0.0457945169841795,-11.4604854030813,1.60103383743053,3.11126353697889,0.185003449799868,1.33131139635777e-16,-0.890561273399302,344.582808502414,337.781401098063,-0.0347523890635106,0.319555908048112,-35.8825290963256,1.70815964619126,3.06917699601706,0.206903486333888,0.00510958791283128,343.05184360583,359.731873270936,0.270968739179902,3.5,25.6259007624421,332,-0.00445515979835041,2.22870883819304,"Overestimated flux (g-fact) | Exaggerated curvature (k.ratio)","",-0.399586190056722,"LM","g-fact. > 2 | kappa max",2,1
