"UniqueID","LM.flux","LM.C0","LM.Ct","LM.slope","LM.se","LM.se.rel","LM.MAE","LM.RMSE","LM.r2","LM.p.val","HM.flux","HM.C0","HM.Ci","HM.slope","HM.se","HM.se.rel","HM.MAE","HM.RMSE","HM.r2","HM.k","C0","Ct","MDF","prec","flux.term","nb.obs","k.max","g.fact","HM.diagnose","LM.diagnose","best.flux","model","quality.check","g.limit","k.ratio.lim","total_estimated","ebullition","diffusion"
"S1-VA-A1-1-openwater-dark",0.0650388508425087,2042.57668273853,2071.67253615085,0.0399120074243027,0.00412362145452322,6.34024341006354,10.6220702579613,14.4178204423966,0.253398837547547,1.94870095489225e-48,1.80534085205792,1998.2987914872,2062.29465112492,1.10787285687463,0.193826704464236,10.7362941598143,8.98313380244806,11.6323810563055,0.51401073352337,0.017311633332942,2009.23374405704,2054.39783524742,0.00133936108913977,0.6,1.62955599178672,731,0.0665200123738379,27.7578836137426,"Overestimated flux (g-fact)","",0.0650388508425087,"LM","g-fact. > 2",2,1,0.096343855200926,0.022904002311635,0.073439852889291
"S1-VA-A1-10-bare-dark",0.00611347682065372,2011.28547555811,2011.35779934579,0.000238692368580909,0.0164763868724714,269.509271987549,0.772783029937021,0.985917201551111,-0.00284466719193688,0.7108634938596,0.00654263290731766,2011.28445211662,2011.92657113654,0.000255448182959833,0.0683881269181633,1045.26920411008,0.772773559464048,0.985913468841053,-0.00283707361049035,0.000397820614301515,2012.21943599396,2010.85763228143,0.0505507266280818,0.6,25.6123681582281,305,0.000397820614301515,1.07019836653573,"MDF (HM)","MDF (LM)",0.00654263290731766,"HM","MDF",2,1,0.00654263290731766,0,0.939199828766306
"S1-VA-A1-11-bare-dark",0.0178837443070069,2015.08542558855,2016.31587743395,0.00338036221263378,0.00286024447794081,15.9935437950775,0.847430428601567,1.08980161676137,0.0945041203750304,1.13189061278766e-09,0.0469875529390112,2014.79545587995,2016.37188927552,0.00888152646853329,0.0224599945188487,47.7998812749438,0.839502189218396,1.07940033990036,0.11170609199372,0.00563393702105631,2016.01695070466,2016.46397152524,0.00869668218904546,0.6,5.29048166500266,366,0.00563393702105631,2.62738899261725,"Overestimated flux (g-fact)","",0.0178837443070069,"LM","g-fact. > 2",2,1,0.0178837443070069,0,0.939199828766306
"S1-VA-A1-12-bare-dark",-0.00589061761261708,2016.75220027724,2016.38697810592,-0.00111348222963179,0.00631985286772016,-107.286761479538,0.990391468344606,2.06104608608834,-0.000399017210303221,0.351980037198332,-0.0058831629556252,2016.75215671489,1630.1261514213,-0.00111207310267188,0.0211870397391211,-360.130084767804,0.990418569824544,2.06104724138127,-0.000400118521204362,2.87635360127265e-06,2015.62213636369,2016.48367572977,0.00964790222663612,0.6,5.29026638760548,330,-0.00185580371605299,0.998734486350648,"MDF (HM)","MDF (LM)",-0.0058831629556252,"HM","MDF",2,1,-0.0058831629556252,0,0.939199828766306
"S1-VA-A1-13-bare-dark",0.0238792887475218,2013.80087349717,2015.2911827661,0.00451608869371981,0.00559933829783581,23.4485137184703,1.16118598189344,1.84365750391967,0.0493623540920051,2.61749742057431e-05,0.023857723169554,2013.80107695642,3746.32047772433,0.00451201017765244,0.0218884211352418,91.7456413576576,1.16119987919318,1.84367835168164,0.049341050764003,2.60430571551036e-06,2018.7712323048,2015.4851662,0.00958478070730138,0.6,5.28760402352793,332,0.00752681448953302,0.999096891946997,"","",0.023857723169554,"HM","",2,1,0.023857723169554,0,0.939199828766306
"S1-VA-A1-14-vegetated-transparent",0.996266443979296,2018.35039007066,2024.45834827711,0.0126197483604327,0.202399055817636,20.3157555933744,3.3383147605227,7.91318073115159,0.0457056220600883,1.17503607835302e-06,0.995946699527719,2018.35053908992,5249.42542709544,0.012615698144205,0.806095532407763,80.9376177249261,3.33888168674778,7.91325061548,0.0456889382957957,3.9044895526988e-06,2017.42276529965,2019.64659880916,0.0976639576852096,0.6,78.9450324622111,486,0.0210329139340545,0.99967905729084,"","",0.995946699527719,"HM","",2,1,NA,NA,NA
"S1-VA-A1-15-vegetated-dark",1.97004360026335,2029.09340994779,2038.20735401705,0.0249697097788029,0.0732043379522549,3.71587400108653,1.26265640313359,1.87799630610989,0.663983602447559,1.12838886459333e-88,1.97584276233092,2029.08846400789,3159.8093647805,0.0250432124128401,0.29190837115322,14.7738664593357,1.26360014730138,1.87844289914617,0.663825806724901,2.2148005220146e-05,2028.61587765354,2041.0202289,0.129339896265214,0.6,78.8973367217807,367,0.0416161829646715,1.00294367194045,"","",1.97584276233092,"HM","",2,1,NA,NA,NA
"S1-VA-A1-16-bare-dark",-0.0333355097322005,2009.9816419001,2007.99488658344,-0.00545811900181748,0.0105042166986495,-31.5105927074003,1.46910347920801,3.46688223912657,0.0242502716340618,0.00163411207084683,-1.20713122160866,2014.08404560285,2008.54329945798,-0.19764707098464,0.592280100266291,-49.065096624458,1.4917294010787,3.35320687813396,0.0871888096517461,0.0356715622439624,2006.25067572088,2008.38899941446,0.010039740462176,0.6,6.10750878115706,366,-0.00909686500302914,36.2115723235104,"Overestimated flux (g-fact) | Exaggerated curvature (k.ratio)","",-0.0333355097322005,"LM","g-fact. > 2 | kappa max",2,1,NA,NA,NA
"S1-VA-A1-17-vegetated-transparent",0.0523123160972575,2004.61420622391,2005.3015722079,0.00203966167353642,0.0158952102619587,30.3852160405339,0.825307101051752,1.11337789812909,0.0282641992307913,0.0011036942751032,0.0530140740934788,2004.61270011907,2030.27756343863,0.00206702327775843,0.0638068278614282,120.358280235016,0.825334201226726,1.11337916757209,0.0282619849252045,8.05390331528793e-05,2003.954728375,2004.5695540125,0.0455281877312152,0.6,25.6475457552512,339,0.0033994361225607,1.01341477588024,"","",0.0530140740934788,"HM","",2,1,NA,NA,NA
"S1-VA-A1-18-vegetated-dark",0.374273502779653,2004.02701682173,2008.84675982558,0.0146052818298663,0.0300380358927745,8.02569128449867,1.04054276846064,2.04077369847439,0.31787914098904,1.80876780114014e-29,0.374657847914086,2004.02608025175,3125.06231504556,0.0146202801371647,0.119581631004281,31.9175566907389,1.03989998649164,2.0409238197312,0.317779684341017,1.30417551934473e-05,2004.44197718889,2007.89260730692,0.0464517838594117,0.6,25.6259007624421,332,0.0243421363831105,1.0010269098175,"","",0.374657847914086,"HM","",2,1,NA,NA,NA
"S1-VA-A1-19-vegetated-transparent",0.00108959983952499,2007.04220063447,2007.05551014412,4.25223950643387e-05,0.038296637466915,3514.74331013212,1.36446520130118,2.4043696608665,-0.00319229368515561,0.977320117803087,0.000801464085120887,2007.04399074437,2007.485325658,3.12776959220609e-05,0.125413997539799,15648.1119825703,1.3645818146527,2.40437112451924,-0.00319351506605758,7.08706584405645e-05,2005.99390169122,2006.09188247304,0.0489633264252903,0.6,25.6241408292353,315,7.08706584405645e-05,0.735558189390228,"MDF (HM)","MDF (LM)",0.000801464085120887,"HM","MDF",2,1,NA,NA,NA
"S1-VA-A1-2-openwater-dark",0.652400800296286,2029.12514162353,2222.90836705831,0.400378564947889,0.00520582465157507,0.797948845128771,8.65719495429609,9.86082472793326,0.970042191362616,0,1.17441012153636,2006.56841054677,2283.98796180341,0.720735840464113,0.0121522804099446,1.03475610326374,2.96607375168438,3.72087002543695,0.995734474298974,0.00259799944596318,2015.4477607,2205.2646522,0.00201582663064758,0.6,1.62945985977346,486,0.667297608246481,1.80013593024871,"","",1.17441012153636,"HM","",2,1,0.620063692049878,0.0409145564348061,0.579149135615072
"S1-VA-A1-20-vegetated-dark",0.0484976521640744,2006.54551432354,2007.12094308442,0.00189285776607218,0.0161156821116932,33.2298191614957,0.75173639756001,0.968748917698946,0.0257339109324474,0.0028372839209148,0.0780124565347314,2006.4890884109,2007.45423768787,0.0030448171738821,0.0897790565026571,115.082975835644,0.751362716869069,0.96790882603448,0.0274229304889824,0.00315476294345363,2007.18814073203,2006.57895937045,0.0504027397525609,0.6,25.6213927075518,306,0.00315476294345363,1.60858212828127,"","MDF (LM)",0.0780124565347314,"HM","",2,1,NA,NA,NA
"S1-VA-A1-21-openwater-dark",0.136895195377387,2002.30503747167,2033.2320785189,0.0840408724109561,0.00169931268569466,1.2413238324472,1.59964196320273,2.13751465516024,0.946192473331346,7.7427651420679e-236,0.137938675513465,2002.26474100931,3869.30907105717,0.0846814718179531,0.00680511430166965,4.93343456890405,1.60297058696571,2.14007453879063,0.946064865550968,4.53558977979824e-05,2003.12738585145,2031.2602962,0.00264863758830695,0.6,1.62891211680878,370,0.140068120684927,1.00762247450103,"","",0.137938675513465,"HM","",2,1,NA,NA,NA
"S1-VA-A1-22-openwater-dark",0.0641401193873603,2029.8717935637,2041.76151796916,0.0393699483624317,0.0177745364249734,27.7120413787009,7.35299321906627,16.6386298496265,0.0381610448120375,0.000360294020432278,0.0640617763848556,2029.87356947454,15965.3175387646,0.0393218605198672,0.0692066121590288,108.0310538741,7.3533531406806,16.638785029196,0.0381433660532781,2.8217156630619e-06,2035.73616510314,2046.38162334821,0.00322606817340688,0.6,1.62916442757048,304,0.0656165806040529,0.998778564753964,"","",0.0640617763848556,"HM","",2,1,NA,NA,NA
"S1-VA-A1-23-bare-dark",-0.184921735875057,2005.12452392607,2004.1125292484,-0.00313311045719535,0.0326007901725571,-17.6295068928966,0.660858151664909,0.931339046129317,0.087773846057546,3.13108288002666e-08,-62.674838578387,2009.27656596027,2004.52893588496,-1.06189351524177,13.3545838983391,-21.3077276324159,0.632920700847946,0.813225508300283,0.304481185317325,0.223668124600571,2008.08224054079,2005.17032221556,0.109299580626477,0.6,59.0217735382978,325,-0.00522185076199226,338.926293773997,"Overestimated flux (g-fact) | Exaggerated curvature (k.ratio)","",-0.184921735875057,"LM","g-fact. > 2 | kappa max",2,1,NA,NA,NA
