DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2023-11-07                09:04:32.890              310.37815845              7449.075803               1699347872.890            0                         899                       1.9915119891E+00          2.0104598807E+00          -3.8097414345E+00         -3.8474964633E+00         8.6464728283E-01          7.5269826604E+02          2.1604455948E+01          -1.3636889363E+00         2.4686574936E+01          1.8866713315E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:33.921              310.37817039              7449.076089               1699347873.922            0                         899                       1.9915119891E+00          2.0104598807E+00          4.2522584563E+02          4.2943988859E+02          8.6464728283E-01          7.5267323758E+02          2.1604455948E+01          -1.5189735858E+00         2.4686574936E+01          1.8829347509E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:35.010              310.37818300              7449.076392               1699347875.011            0                         899                       1.9916746500E+00          2.0099457093E+00          4.2522556440E+02          4.2928868713E+02          8.3397474819E-01          7.5266297680E+02          2.1604377128E+01          -1.6992550773E+00         2.4686574936E+01          1.8805069551E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:36.137              310.37819603              7449.076705               1699347876.137            0                         899                       1.9916727327E+00          2.0099437670E+00          4.8527525460E+02          4.8991216332E+02          8.3397441744E-01          7.5267955047E+02          2.1604272842E+01          -1.4494372046E+00         2.4907566007E+01          1.8851441225E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:37.141              310.37820766              7449.076984               1699347877.142            0                         899                       1.9944687341E+00          2.0103028412E+00          4.8527525460E+02          4.8928787094E+02          7.2261270279E-01          7.5269899401E+02          2.1604272842E+01          -1.2782963893E+00         2.4935602188E+01          1.8873296738E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:38.226              310.37822021              7449.077285               1699347878.226            0                         899                       1.9944687341E+00          2.0103028412E+00          4.3882849890E+02          4.4245705896E+02          7.2261270279E-01          7.5272053821E+02          2.1604272842E+01          -1.5595247690E+00         2.4935602188E+01          1.8864592028E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:39.275              310.37823235              7449.077576               1699347879.275            0                         899                       2.0085582368E+00          2.0263623597E+00          4.3882734578E+02          4.4287888028E+02          8.0607782673E-01          7.5271474512E+02          2.1603959582E+01          -1.7699448794E+00         2.4935602188E+01          1.8857434469E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:40.352              310.37824483              7449.077876               1699347880.353            0                         899                       2.0085498991E+00          2.0263539173E+00          4.1912451648E+02          4.2299413519E+02          8.0607644823E-01          7.5271222975E+02          2.1603509903E+01          -1.4945587788E+00         2.4935602188E+01          1.8852513964E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:41.421              310.37825720              7449.078173               1699347881.422            0                         899                       2.0111316314E+00          2.0287709100E+00          4.1912451648E+02          4.2295339353E+02          7.9766642184E-01          7.5269763830E+02          2.1603509903E+01          -1.4519702520E+00         2.4935602188E+01          1.8845698578E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:42.513              310.37826983              7449.078476               1699347882.513            0                         899                       2.0111316314E+00          2.0287709100E+00          4.1710190672E+02          4.2091230638E+02          7.9766642184E-01          7.5268439125E+02          2.1603509903E+01          -1.6528723477E+00         2.4935602188E+01          1.8823780262E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:43.562              310.37828197              7449.078767               1699347883.562            0                         899                       1.9935521516E+00          2.0115274540E+00          4.1710190672E+02          4.2101917408E+02          8.1982988060E-01          7.5270374061E+02          2.1603509903E+01          -1.7504669231E+00         2.4935602188E+01          1.8794074280E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:44.592              310.37829389              7449.079053               1699347884.592            0                         899                       1.9935436121E+00          2.0115188055E+00          4.1727623281E+02          4.2119513040E+02          8.1982843384E-01          7.5271382272E+02          2.1603045874E+01          -1.7990054934E+00         2.4935602188E+01          1.8803298142E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:45.640              310.37830602              7449.079344               1699347885.640            0                         899                       1.9935499976E+00          2.0117504303E+00          4.1727347622E+02          4.2124145935E+02          8.3000577112E-01          7.5269478178E+02          2.1602258682E+01          -1.8082216978E+00         2.4935602188E+01          1.8823461533E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:46.750              310.37831888              7449.079653               1699347886.751            0                         899                       1.9935499976E+00          2.0117504303E+00          4.1672759396E+02          4.2069038612E+02          8.3000577112E-01          7.5269515365E+02          2.1602258682E+01          -1.6784836275E+00         2.4935602188E+01          1.8828246072E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:47.799              310.37833102              7449.079944               1699347887.800            0                         899                       1.9940953023E+00          2.0113265948E+00          4.1672759396E+02          4.2047827312E+02          7.8597504968E-01          7.5269455946E+02          2.1602258682E+01          -1.3737998103E+00         2.4935602188E+01          1.8877876673E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:48.888              310.37834361              7449.080247               1699347888.888            0                         899                       1.9940953023E+00          2.0113265948E+00          4.1562533132E+02          4.1936608977E+02          7.8597504968E-01          7.5270303971E+02          2.1602258682E+01          -1.3305753856E+00         2.4935602188E+01          1.8865483404E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                09:04:49.904              310.37835537              7449.080529               1699347889.904            0                         899                       1.9941288172E+00          2.0114794997E+00          4.1562483785E+02          4.1939145630E+02          7.9136065525E-01          7.5273873517E+02          2.1602117210E+01          -1.3472075589E+00         2.4935602188E+01          1.8866053512E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
