DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2023-11-07                17:25:17.467              310.72589662              7457.421519               1699377917.468            0                         899                       2.0633734723E+00          2.0761605828E+00          -3.8097414345E+00         -3.8343299356E+00         5.6504752825E-01          7.4741958396E+02          2.7913354874E+01          -1.4203550445E+00         2.7674901962E+01          1.8860520306E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:18.486              310.72590841              7457.421802               1699377918.487            0                         899                       2.0633734723E+00          2.0761605828E+00          4.7212313635E+02          4.7517027234E+02          5.6504752825E-01          7.4740769059E+02          2.7913354874E+01          -1.4064714222E+00         2.7674901962E+01          1.8862876172E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:19.502              310.72592016              7457.422084               1699377919.502            0                         899                       2.0563033248E+00          2.0546137816E+00          4.7212313635E+02          4.7171925500E+02          -7.5441895073E-02         7.4737219238E+02          2.7913354874E+01          -1.6617327929E+00         2.7674901962E+01          1.8825983047E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:20.503              310.72593176              7457.422362               1699377920.504            0                         899                       2.0562366683E+00          2.0545472032E+00          4.7293006844E+02          4.7252550237E+02          -7.5440856784E-02         7.4738023528E+02          2.7909784317E+01          -1.3296914101E+00         2.7674901962E+01          1.8871356964E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:21.510              310.72594341              7457.422642               1699377921.511            0                         899                       2.0560905028E+00          2.0549076299E+00          4.7293006844E+02          4.7264678995E+02          -5.2810379131E-02         7.4738026155E+02          2.7909784317E+01          -1.4632452718E+00         2.7674901962E+01          1.8847818640E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:22.579              310.72595579              7457.422939               1699377922.580            0                         899                       2.0560905028E+00          2.0549076299E+00          4.7287971400E+02          4.7259646568E+02          -5.2810379131E-02         7.4734905642E+02          2.7909784317E+01          -1.4585994679E+00         2.7674901962E+01          1.8844286521E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:23.650              310.72596817              7457.423236               1699377923.650            0                         899                       2.0575979870E+00          2.0562603607E+00          4.7287971400E+02          4.7255964441E+02          -5.9680189879E-02         7.4735371288E+02          2.7909784317E+01          -1.3116578851E+00         2.7674901962E+01          1.8867180767E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:24.757              310.72598100              7457.423544               1699377924.758            0                         899                       2.0575652771E+00          2.0562276811E+00          4.7337270615E+02          4.7305230503E+02          -5.9679787077E-02         7.4736681846E+02          2.7908033295E+01          -1.5023736701E+00         2.7674901962E+01          1.8839519463E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:25.823              310.72599333              7457.423840               1699377925.824            0                         899                       2.0567577848E+00          2.0552070739E+00          4.7336593155E+02          4.7299434304E+02          -6.9222731587E-02         7.4737757237E+02          2.7906305313E+01          -1.5016730408E+00         2.7674901962E+01          1.8839522216E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:26.918              310.72600601              7457.424144               1699377926.919            0                         899                       2.0567577848E+00          2.0552070739E+00          4.7358753569E+02          4.7321577322E+02          -6.9222731587E-02         7.4739655996E+02          2.7906305313E+01          -1.3653166081E+00         2.7674901962E+01          1.8856645597E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:27.901              310.72601738              7457.424417               1699377927.902            0                         899                       2.0585568378E+00          2.0569061106E+00          4.7358753569E+02          4.7319214225E+02          -7.3626530958E-02         7.4739634007E+02          2.7906305313E+01          -1.3734548723E+00         2.7674901962E+01          1.8854017422E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:28.911              310.72602907              7457.424698               1699377928.912            0                         899                       2.0585560899E+00          2.0569053636E+00          4.7369181286E+02          4.7329633242E+02          -7.3626519602E-02         7.4737644504E+02          2.7906265297E+01          -1.7434389054E+00         2.7674901962E+01          1.8815367743E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:30.055              310.72604231              7457.425016               1699377930.056            0                         899                       2.0570543599E+00          2.0557850491E+00          4.7368011709E+02          4.7337579925E+02          -5.6645284482E-02         7.4738640185E+02          2.7903284073E+01          -1.3950886490E+00         2.7674901962E+01          1.8870458186E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2023-11-07                17:25:31.131              310.72605476              7457.425314               1699377931.131            0                         899                       2.0570543599E+00          2.0557850491E+00          4.7418125194E+02          4.7387661214E+02          -5.6645284482E-02         7.4738898918E+02          2.7903284073E+01          -1.4619410093E+00         2.7674901962E+01          1.8877450930E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
